Stage,Name,K,Acc (K),Tmin,Tmax,Topt,Usrhyt,LOC,Thermoreg
1,Egg,42.02,42.02,9.2,39.9,25,2,3,0
2,Larva,256.4,298.42,9.5,40,25,2,3,0
3,Pupa,192.3,490.72,14.02,40,25,-0.05,1,0
4,Adult,100,590.72,9.2,39.9,25,0.5,2,0
