Stage,Name,K,Acc (K),Tmin,Tmax,Topt,Usrhyt,LOC,Thermoreg
1,Egg,45.45454546,45.45454546,5.8,35,30,2,3,0
2,Larva,200,245.4545455,8.6,35,30,2,3,0
3,Pupa,142.8571429,388.3116883,9.6,35,30,-0.05,1,0
4,Adult,50,438.3116883,7,38,30,0.5,2,0
